time_stamp, total time, matches num, keypoints num, search time, delete size, delete time, tree size st, tree size end, add point size, preprocess time
1669817763.00413704,0.18378508,200,340,0,494035,0.00000000,495574,2730,40445920,0.00000000
1669817763.10472989,0.17566609,229,340,0,494182,0.00000000,495365,2365,40445920,0.00000000
1669817763.20728111,0.17620630,246,336,0,495365,0.00000000,496993,3411,40445920,0.00000000
1669817763.30739808,0.18052784,180,337,0,496993,0.00000000,498937,3278,40445920,0.00000000
1669817763.40859199,0.18566993,233,336,0,498365,0.00000000,500059,2716,40445920,0.00000000
1669817763.50924325,0.17766358,219,348,0,500059,0.00000000,501632,2891,40445920,0.00000000
1669817763.60953832,0.19302372,234,320,0,501632,0.00000000,503003,2532,40445920,0.00000000
1669817763.70935249,0.18267416,198,322,0,503003,0.00000000,504273,2457,40445920,0.00000000
1669817763.80933881,0.18690894,240,320,0,503908,0.00000000,505104,2460,40445920,0.00000000
1669817763.90936399,0.18897823,219,341,0,505104,0.00000000,506165,2421,40445920,0.00000000
1669817764.00868177,0.19515800,250,347,0,506165,0.00000000,507571,3159,40445920,0.00000000
1669817764.10928249,0.18853828,240,350,0,507571,0.00000000,508786,2720,40445920,0.00000000
1669817764.20939803,0.18140265,258,337,0,508786,0.00000000,510117,2374,40445920,0.00000000
1669817764.30916500,0.20291175,225,330,0,510117,0.00000000,511738,3361,40445920,0.00000000
1669817764.40966463,0.21045631,235,338,0,511738,0.00000000,512145,2674,40445920,0.00000000
1669817764.51017332,0.19687950,205,316,0,501965,0.00000000,504005,3079,40445920,0.00000000
1669817764.61131310,0.18063283,178,306,0,504005,0.00000000,505989,2712,40445920,0.00000000
1669817764.71205759,0.18095979,196,334,0,505989,0.00000000,507713,2805,40445920,0.00000000
1669817764.81334019,0.18538595,221,323,0,507713,0.00000000,509444,2694,40445920,0.00000000
1669817764.91337919,0.18662685,201,308,0,509444,0.00000000,511195,2665,40445920,0.00000000
1669817765.01354051,0.18474159,217,319,0,511195,0.00000000,511857,3493,40445920,0.00000000
1669817765.11437583,0.17335943,204,309,0,511857,0.00000000,513890,3418,40445920,0.00000000
1669817765.21436191,0.17253088,227,301,0,513890,0.00000000,515531,2671,40445920,0.00000000
1669817765.31418538,0.18440866,211,335,0,515531,0.00000000,518189,4001,40445920,0.00000000
1669817765.41403365,0.18134849,211,329,0,513319,0.00000000,515457,3268,40445920,0.00000000
1669817765.51390290,0.17867028,220,330,0,515457,0.00000000,517524,3354,40445920,0.00000000
1669817765.61398411,0.17938126,230,308,0,517524,0.00000000,519261,2981,40445920,0.00000000
1669817765.71408653,0.17508888,194,309,0,519261,0.00000000,520875,2808,40445920,0.00000000
1669817765.81388807,0.17498371,228,318,0,520875,0.00000000,522303,2642,40445920,0.00000000
1669817765.91386843,0.17792787,216,343,0,522303,0.00000000,523801,2600,40445920,0.00000000
1669817766.01336455,0.18163706,211,326,0,523801,0.00000000,525518,2504,40445920,0.00000000
1669817766.11221766,0.18815446,230,335,0,524966,0.00000000,526666,3032,40445920,0.00000000
1669817766.21307039,0.19578100,211,304,0,526241,0.00000000,527819,2618,40445920,0.00000000
1669817766.31155062,0.18995872,180,308,0,527819,0.00000000,529397,3388,40445920,0.00000000
1669817766.41148591,0.19632376,202,315,0,529397,0.00000000,531655,3769,40445920,0.00000000
1669817766.51224899,0.23899201,205,296,0,531655,0.00000000,533950,2633,40445920,0.00000000
1669817766.61288428,0.22410188,235,299,0,533950,0.00000000,536926,3400,40445920,0.00000000
1669817766.71215749,0.19432346,258,335,0,507879,0.00000000,510438,2875,40445920,0.00000000
1669817766.81224155,0.17310468,238,311,0,510438,0.00000000,512811,2696,40445920,0.00000000
1669817766.91403270,0.17712613,220,316,0,512811,0.00000000,515146,2851,40445920,0.00000000
1669817767.01393867,0.18801545,202,301,0,515146,0.00000000,517405,2899,40445920,0.00000000
